,year,value
0,1913,9.883333333333335
1,1914,10.016666666666667
2,1915,10.108333333333333
3,1916,10.883333333333333
4,1917,12.825000000000001
5,1918,15.041666666666666
6,1919,17.333333333333332
7,1920,20.041666666666668
8,1921,17.849999999999998
9,1922,16.75
10,1923,17.05
11,1924,17.125
12,1925,17.541666666666668
13,1926,17.7
14,1927,17.358333333333334
15,1928,17.158333333333335
16,1929,17.158333333333335
17,1930,16.7
18,1931,15.208333333333334
19,1932,13.641666666666666
20,1933,12.933333333333332
21,1934,13.383333333333333
22,1935,13.725
23,1936,13.866666666666667
24,1937,14.383333333333333
25,1938,14.091666666666667
26,1939,13.908333333333333
27,1940,14.008333333333333
28,1941,14.725
29,1942,16.333333333333332
30,1943,17.308333333333334
31,1944,17.591666666666665
32,1945,17.991666666666667
33,1946,19.516666666666666
34,1947,22.325
35,1948,24.041666666666668
36,1949,23.808333333333334
37,1950,24.066666666666666
38,1951,25.958333333333332
39,1952,26.55
40,1953,26.766666666666666
41,1954,26.849999999999998
42,1955,26.775000000000002
43,1956,27.183333333333334
44,1957,28.09166666666667
45,1958,28.858333333333334
46,1959,29.150000000000002
47,1960,29.575
48,1961,29.891666666666666
49,1962,30.25
50,1963,30.625
51,1964,31.016666666666666
52,1965,31.508333333333336
53,1966,32.458333333333336
54,1967,33.358333333333334
55,1968,34.78333333333333
56,1969,36.68333333333333
57,1970,38.824999999999996
58,1971,40.49166666666667
59,1972,41.81666666666667
60,1973,44.4
61,1974,49.30833333333334
62,1975,53.81666666666666
63,1976,56.90833333333333
64,1977,60.60833333333333
65,1978,65.23333333333333
66,1979,72.575
67,1980,82.40833333333333
68,1981,90.925
69,1982,96.5
70,1983,99.60000000000001
71,1984,103.88333333333333
72,1985,107.56666666666666
73,1986,109.60833333333333
74,1987,113.625
75,1988,118.25833333333333
76,1989,123.96666666666665
77,1990,130.65833333333333
78,1991,136.19166666666666
79,1992,140.31666666666666
80,1993,144.45833333333334
81,1994,148.225
82,1995,152.38333333333333
83,1996,156.85
84,1997,160.51666666666668
85,1998,163.00833333333333
86,1999,166.57500000000002
87,2000,172.20000000000002
88,2001,177.0666666666667
89,2002,179.875
90,2003,183.95833333333334
91,2004,188.88333333333333
92,2005,195.29166666666666
93,2006,201.59166666666667
94,2007,207.34241666666665
95,2008,215.3025
96,2009,214.537
97,2010,218.05550000000002
98,2011,224.93916666666667
99,2012,229.59391666666667
100,2013,232.95708333333334
101,2014,236.73616666666666
102,2015,237.01700000000002
103,2016,240.00716666666665
104,2017,245.11958333333334
105,2018,251.10683333333336
106,2019,255.65741666666668
107,2020,258.8111666666667
108,2021,270.96975000000003
109,2022,291.7351
